week,forecast,lower_bound,upper_bound,subject_category,target
2023-01-01,3221.0196959429677,1790.7379107464233,4742.089176298716,Medical,sales_quantity
2023-01-08,4551.84149036102,3096.326891539962,5924.632225572775,Medical,sales_quantity
2023-01-15,4629.422315515307,3109.4876781845956,6051.727311923073,Medical,sales_quantity
2023-01-22,3115.293371518649,1687.3423179216395,4502.062492081551,Medical,sales_quantity
2023-01-29,1009.0858374583124,-358.1423017230536,2469.0219831532704,Medical,sales_quantity
2023-02-05,-301.82145094536395,-1645.0706579765606,1079.780253038388,Medical,sales_quantity
2023-02-12,-352.3171939440033,-1744.3208393928348,1049.948511468447,Medical,sales_quantity
2023-02-19,128.91774091107754,-1269.8518257235435,1544.4787415849005,Medical,sales_quantity
2023-02-26,175.88447477046952,-1230.2905850617444,1562.3556564362175,Medical,sales_quantity
2023-03-05,-393.83489232505735,-1883.1676796743504,1044.9506631395304,Medical,sales_quantity
2023-03-12,-995.1409953273928,-2396.467758275608,381.9423699517855,Medical,sales_quantity
2023-03-19,-1128.0342700635663,-2502.208836541504,221.13460917573778,Medical,sales_quantity
2023-03-26,-941.9100851020146,-2399.58083918294,467.5777027442874,Medical,sales_quantity
2023-04-02,-888.4662586744835,-2313.9491736359837,455.632717045569,Medical,sales_quantity
2023-04-09,-1030.7649582835465,-2519.4205210072278,324.1576781852067,Medical,sales_quantity
2023-04-16,-946.4339702376633,-2447.8638570375565,321.1958430135889,Medical,sales_quantity
2023-04-23,-326.0133225432651,-1777.6038498630642,1045.6146723012512,Medical,sales_quantity
2023-04-30,542.3094704985514,-836.1772250501643,1964.8276345808329,Medical,sales_quantity
2023-05-07,1041.58211093317,-411.7689722002092,2341.433917714906,Medical,sales_quantity
2023-05-14,912.0119210836435,-602.9190379577052,2259.5453597778715,Medical,sales_quantity
2023-05-21,505.59362119741996,-942.5063125018734,1980.8536333035552,Medical,sales_quantity
2023-05-28,332.90770283578485,-1059.4060114333602,1724.8687353260011,Medical,sales_quantity
2023-06-04,501.7146734698034,-897.8789859820611,2022.8926225019516,Medical,sales_quantity
2023-06-11,713.3825009537801,-609.0280782088291,2124.8614130675305,Medical,sales_quantity
2023-06-18,722.2889833409042,-694.2108734833295,2226.768903696774,Medical,sales_quantity
2023-06-25,609.2874328858261,-779.8073370109759,2063.3805367152004,Medical,sales_quantity
2023-07-02,564.4302397981705,-735.4385749943791,1956.7844828313525,Medical,sales_quantity
2023-07-09,584.0119617092922,-816.8203014029408,1883.914585405471,Medical,sales_quantity
2023-07-16,570.3897449174425,-840.2545651230895,1941.2587397474065,Medical,sales_quantity
2023-07-23,680.70328960202,-769.805183963762,2132.22046200112,Medical,sales_quantity
2023-07-30,1324.5192309557358,-53.86422102592873,2726.647013187273,Medical,sales_quantity
2023-08-06,2639.5828161712043,1392.2655793181834,3997.4442095110717,Medical,sales_quantity
2023-08-13,4054.110145811909,2677.5462457450517,5495.06815029765,Medical,sales_quantity
2023-08-20,4597.995015019501,3175.9923280953553,5925.740200496035,Medical,sales_quantity
